,unnamed:_0,tender_id,tender_externalreference,tender_title,work_description,tender_category,tender_type,form_of_contract,product_category,is_multi_currency_allowed_for_boq,allow_two_stage_bidding,independent_external_monitor/remarks,published_date,pre_bid_meeting_date,bid_validity_days,should_allow_nda_tender,allow_preferential_bidder,payment_mode,bid_opening_date,organisation_chain,location,pincode,no_of_bids_received,tender_value_in_rupees,bidder_name,awarded_value,status,contract_date,tender_stage,department,is_flood_tender,positive_keywords_dict,negative_keywords_dict,season,scheme,erosion,roads_bridges_embkt,response_type,flood_response_-_subhead,month,tender_district_externalreference,tender_district_title_description,tender_district_location,btc_flag,district_finalised,tender_villages,tender_block,tender_subdistrict,tender_revenueci,hq_flag,revenue_circle_finalised,geometry,polygons,timeperiod,financial-year
0,5,2020_DoWR_19045_1,HAILAKANDI/2019-20/RIDF/I,A/E measures at Matijuri Bazar area from the erosion of river Katakhal on its left bank.,A/E measures at Matijuri Bazar area from the erosion of river Katakhal on its left bank.,Works,Open Tender,Works,Civil Works,No,No,NA ,20-Oct-2020 06:00 PM,NA ,180.0,No ,No,Online,11-Nov-2020 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788151.0,2.0,34537379.0,AMZAD HUSSAIN LASKAR-ZIAUR RAHMAN BARBHUIYA JV,31081944.36,Accepted-AOC,16-Jan-2021,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 2, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 2, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Post-Monsoon,RIDF,True,False,Others,,2021_01,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,"'MATIJURI', 'Matijuri'",HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2021-01,2020-2021
1,25,2022_PWD_23953_14,CE/Commn/30/RIDF-27/21-22/Ph-2,RE/RIDF-XXVII/ Algapur /1,Construction of embankment cum road along L/B of Dhaleswari from Dhalidhar grant to Dhalidhar Village under RIDF-XXVII of NABARD for the year 2021-22 (Length 3.35km),Works,Open Tender,Item Rate,Civil Works – Roads,No,No,NA ,04-Jan-2022 09:00 AM,NA ,180.0,No ,No,Offline,24-Jan-2022 02:30 PM,Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,Algapur,788101.0,2.0,44955000.0,ABDUL GOFUR CHOUDHURY,44954500.0,Accepted-AOC,16-Jul-2022,AOC,Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,True,"{'Flood': 0, 'Embankment': 1, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,RIDF,False,True,Others,,2022_07,,HAILAKANDI,HAILAKANDI,False,HAILAKANDI,'ALGAPUR',ALGAPUR,Algapur,Algapur,False,Algapur,"POLYGON ((92.63016810370704 24.84830918597023, 92.59726167578596 24.87909806393432, 92.5797540346163 24.873631686045027, 92.58289361239831 24.844495879367006, 92.54662047486214 24.810058383590466, 92.53894951810591 24.75977314331001, 92.53424687083123 24.75483721712959, 92.53975125641217 24.735599598317688, 92.57419400289506 24.72927012307334, 92.61041855504908 24.712805185679414, 92.65477131452377 24.74082889505225, 92.67148442816404 24.817772192810285, 92.64712623643426 24.814527770013854, 92.63016810370704 24.84830918597023))","[[92.63016810370704, 24.84830918597023], [92.59726167578596, 24.87909806393432], [92.5797540346163, 24.873631686045027], [92.58289361239831, 24.844495879367006], [92.54662047486214, 24.810058383590466], [92.53894951810591, 24.75977314331001], [92.53424687083123, 24.75483721712959], [92.53975125641217, 24.735599598317688], [92.57419400289506, 24.72927012307334], [92.61041855504908, 24.712805185679414], [92.65477131452377, 24.74082889505225], [92.67148442816404, 24.817772192810285], [92.64712623643426, 24.814527770013854], [92.63016810370704, 24.84830918597023]]",2022-07,2022-2023
2,171,2019_DoWR_11496_1,HAILAKANDI/2018-19/SDRF/II,IM at Matijuri,Immediate measures to Restoration for damages occured at Matijuri (Roy Parra) area from the erosion of river Katakhal on its left bank for 2018-19 (under SDRF).,Works,Open Tender,Works,Civil Works,No,No,NA ,28-Jan-2019 06:00 PM,NA ,180.0,No ,No,Offline,08-Feb-2019 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,17998935.0,AMZAD HUSSAIN LASKAR,17603118.01,Accepted-AOC,16-Sep-2019,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 1, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,True,False,Repair and Restoration,{'restoration': 1},2019_09,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,"'MATIJURI', 'Matijuri'",HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09,2019-2020
4,178,2019_DoWR_11622_1,HAILAKANDI/2018-19/SDRF/V,IM to protect Nandigram Area,Immediate measures to protect Nandigram area from the erosion of river Katakhal on its right bank for 2018-19 under SDRF,Works,Open Tender,Works,Civil Works,No,No,NA ,04-Feb-2019 06:00 PM,NA ,180.0,No ,No,Offline,15-Feb-2019 02:05 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,19999960.0,SRI KISHORE CHAKRABORTY,17999163.98,Accepted-AOC,13-Sep-2019,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 1, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,True,False,Immediate Measures,"{'sdrf': 2, 'im': 1, 'immediate': 1}",2019_09,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09,2019-2020
5,179,2019_DoWR_11623_1,HAILAKANDI/2018-19/SDRF/VI,IM from Mahadev Tilla to Rupacherra Bunglow Tilla,Immediate measures to dyke along R/b of river Katakhal from Mahadev Tilla to Rupacherra Bunglow Tilla (Breach Closing Work) along with construction of 1.20x1.20M Box type sluice culvert for 2018-19 (Under SDRF),Works,Open Tender,Works,Civil Works,No,No,NA ,04-Feb-2019 06:00 PM,NA ,180.0,No ,No,Offline,15-Feb-2019 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,8284893.0,DILNUR SATHI,8110554.19,Accepted-AOC,16-Sep-2019,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 1, 'Culvert': 1, 'Sluice': 1, 'Dyke': 1, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,True,Immediate Measures,"{'sdrf': 2, 'im': 1, 'immediate': 1}",2019_09,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09,2019-2020
6,180,2019_DoWR_11627_1,HAILAKANDI/2018-19/SDRF/IV,IM FROM MOHANPUR TO CONFLUENCE,IMMEDIATE MEASURES TO DYKE ALONG L/B OF RIVER KATAKHAL FROM MOHANPUR TO CONFLUENCE FOR 2018-19 (BREACH CLOSING WORK).,Works,Open Tender,Works,Civil Works,No,No,NA ,04-Feb-2019 06:00 PM,NA ,180.0,No ,No,Offline,15-Feb-2019 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,8999804.0,farooq ahmed barbhuiya,8099394.47,Accepted-AOC,17-Sep-2019,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 1, 'Culvert': 0, 'Sluice': 0, 'Dyke': 1, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,True,Immediate Measures,"{'sdrf': 1, 'im': 1, 'immediate': 1}",2019_09,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,'MOHANPUR',HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09,2019-2020
7,236,2021_DoWR_20084_2,HKD/2020-21/SDRF/1,Immediate measures to the dyke along L/B of river Katakhal from Bishnupur to Gaglacherra for restoration of damages occurred at Jushnabad part-II under SDRF for 2020-21,Immediate measures to the dyke along L/B of river Katakhal from Bishnupur to Gaglacherra for restoration of damages occurred at Jushnabad part-II under SDRF for 2020-21,Works,Open Tender,Works,Civil Works,No,No,NA ,19-May-2021 04:40 PM,NA ,180.0,No ,No,Online,19-Jun-2021 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Jushnabad Pt-II,788781.0,2.0,10499685.0,ABDUL ALIM-RFCC(JV),9917247.19,Accepted-AOC,30-Jul-2021,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 3, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 2, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 2, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,SDRF,False,True,Repair and Restoration,{'restoration': 2},2021_08,HAILAKANDI,,,False,HAILAKANDI,"'BISHNUPUR', 'Bishnupur'",LALA,Hailakandi,Lala,False,Lala,"POLYGON ((92.66546022076581 24.627616921119078, 92.62949117822468 24.636106636331192, 92.60073880541745 24.623811819136034, 92.58659299062099 24.649463756076, 92.54459452775808 24.656625621645848, 92.50703687572239 24.62892868225867, 92.50274653989177 24.600886134309963, 92.51684989312139 24.576356375995708, 92.50729596332509 24.51321304575555, 92.54647109401353 24.508784971878764, 92.54625358942538 24.527594803407233, 92.58777461208784 24.513787409138217, 92.60999147799672 24.514682394299804, 92.6287623579667 24.540056535264128, 92.67346627607247 24.54151782711502, 92.7521067471851 24.505277337167346, 92.76335590392374 24.521235434764975, 92.78052622860255 24.568318533870805, 92.75164393065914 24.584205396192893, 92.70100208025339 24.56686586966797, 92.66951962848303 24.588180295148884, 92.66546022076581 24.627616921119078))","[[92.66546022076581, 24.627616921119078], [92.62949117822468, 24.636106636331192], [92.60073880541745, 24.623811819136034], [92.58659299062099, 24.649463756076], [92.54459452775808, 24.656625621645848], [92.50703687572239, 24.62892868225867], [92.50274653989177, 24.600886134309963], [92.51684989312139, 24.576356375995708], [92.50729596332509, 24.51321304575555], [92.54647109401353, 24.508784971878764], [92.54625358942538, 24.527594803407233], [92.58777461208784, 24.513787409138217], [92.60999147799672, 24.514682394299804], [92.6287623579667, 24.540056535264128], [92.67346627607247, 24.54151782711502], [92.7521067471851, 24.505277337167346], [92.76335590392374, 24.521235434764975], [92.78052622860255, 24.568318533870805], [92.75164393065914, 24.584205396192893], [92.70100208025339, 24.56686586966797], [92.66951962848303, 24.588180295148884], [92.66546022076581, 24.627616921119078]]",2021-08,2021-2022
8,245,2020_DoWR_16728_2,HAILAKANDI/2019-20/SDRF/II,Immediate measures for restoration of damages on L/B of river Katakhal at Mohammedpur area for the year 2019-20 under SDRF RETENDER,Immediate measures for restoration of damages on L/B of river Katakhal at Mohammedpur area for the year 2019-20 under SDRF,Works,Open Tender,Works,Civil Works,No,No,NA ,19-Mar-2020 06:00 PM,NA ,180.0,No ,No,Online,30-Apr-2020 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,23999975.0,CMCASSOCIATESNURULISLAM JV,23519924.75,Accepted-AOC,02-Nov-2020,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 3, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 2, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,False,Repair and Restoration,{'restoration': 2},2020_11,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2020-11,2020-2021
9,248,2020_DoWR_17978_1,HKD/2020-21/CMSPLPKG/4,R/S to dyke along R/B of river Katakhal from Burniebrease T.E. to Burniepar Ferryghat for 2019-20 (Under C.M. Special package),R/S to dyke along R/B of river Katakhal from Burniebrease T.E. to Burniepar Ferryghat for 2019-20 (Under C.M. Special package),Works,Open Tender,Works,Civil Works,No,No,NA ,18-Jun-2020 06:55 PM,NA ,180.0,No ,No,Online,15-Jul-2020 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,"BURNIEBREASE T.E., HAILAKANDI",788801.0,3.0,19999629.0,DILWAR HUSSAIN LASKAR,14409625.33,Accepted-AOC,05-Nov-2020,AOC,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 2, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,,False,True,Repair and Restoration,{'r s': 2},2020_11,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,,,,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2020-11,2020-2021
10,345,2025_DoWR_49697_1,HAILAKANDI/ 2025-26/PDNA/WORKS/IV,Restoration of dyke at different reaches on L/B of river Katakhal from Gaglacherra to Natun Bazar area.,Restoration of dyke at different reaches on L/B of river Katakhal from Gaglacherra to Natun Bazar area.,Works,Open Tender,Works,Civil Works,No,No,NA ,29-Dec-2025 09:00 AM,NA ,180.0,No ,No,Online,09-Jan-2026 03:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788151.0,2.0,12903961.0,Raju Choudhury,12903721.1,Accepted-AOC,29-Apr-2026,,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 2, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Post-Monsoon,,False,True,Repair and Restoration,{'restoration': 2},2026_04,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2026-04,2026-2027
