,object-id,district,rc-area,timeperiod,total-tender-awarded-value,sopd-tenders-awarded-value,sdrf-sanctions-awarded-value,sdrf-tenders-awarded-value,ridf-tenders-awarded-value,ltif-tenders-awarded-value,cidf-tenders-awarded-value,restoration-measures-tenders-awarded-value,immediate-measures-tenders-awarded-value,others-tenders-awarded-value,total-animal-washed-away,total-animal-affected,population-affected-total,crop-area,total-house-fully-damaged,embankments-affected,roads,bridge,embankment-breached,unnamed:-0-x,max-rain,mean-rain,sum-rain,mean-ndvi,revenue-ci-x,district-3-x,district-1,revenue-cr,hq,area,are-new,mean-ndbi,count,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,riverlevel-mean,riverlevel-min,riverlevel-max,relief-camp-inmates,human-live-lost,sexratio,sum-aged-population,sum-young-population,sum-population,unnamed:-0-y,water,trees,flooded-vegetation,crops,built-area,bare-ground,clouds,rangeland,schools-count,health-centres-count,rail-length,rail-count,road-length,road-count,mean-cn,elevation-mean,slope-mean,revenue-ci-y,district-3-y,net-sown-area-in-hac,avg-electricity,avg-tele,rc-piped-hhds-pct,rc-nosanitation-hhds-pct,total-hhd,distance-from-river,drainage-density,exposure,flood-hazard,flood-hazard-float,government-response,total-tenders-hist,sdrf-sanctions-hist,other-tenders-hist,vulnerability,efficiency,topsis-score,risk-score,timeperiod_iso
6852,101,KOKRAJHAR,1069.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.17,2.04,1978.71,0.541936010774981,0,0,0,0,0,0.0,0.0,-0.1485286391784097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.94,18562.0,66164.0,339206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759,49,43237.0,8,84906.0,26,76.3699859162276,79.0,2.0,Gossaigaon (Pt),KOKRAJHAR,32583.05,6.1,2.0,0.94,20.16,62424.0,1718.76663843439,0.000542,2,2.0,2.2,5,588330640.0,8044625.0,0.0,5,0.7284996733870095,0.5681273650146473,4,2024-06
6854,104,KOKRAJHAR,990.0,2024_06,9495800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9495800.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.75,1566.25,0.658169115633601,0,0,0,0,0,0.0,0.0,-0.1607083608364698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.94,18373.0,70260.0,341219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717,32,34409.0,6,101174.0,42,75.6233839235526,106.0,3.0,Kokrajhar (Pt),KOKRAJHAR,21680.643,9.3,3.0,3.36,22.65,69115.0,1570.41582129684,0.000512,2,2.0,1.8,4,8681612964.11,8044625.0,1457217160.02,5,0.7333957246790523,0.5555843989391972,4,2024-06
6869,106,KOKRAJHAR,103.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.98,184.38,0.6347703036530923,0,0,0,0,0,0.0,0.0,-0.2689709547089367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.93,2715.0,12659.0,52712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,5,8748.0,3,12327.0,27,75.6955110870741,41.0,2.0,Golokganj (Pt),KOKRAJHAR,2400.48,7.3,2.0,0.14,35.77,14515.0,6931.46796608241,0.000576,1,2.0,2.0,5,0.0,8044625.0,0.0,4,0.7867654505892239,0.5106919997787996,3,2024-06
6904,107,KOKRAJHAR,124.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,227.47,0.5276437797625475,0,0,0,0,0,0.0,0.0,-0.2182470188523129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.93,4414.0,20647.0,85898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,9,0.0,0,9855.0,13,89.550516389762,39.0,3.0,Dhubri (Pt),KOKRAJHAR,648.6179999999999,7.3,2.0,0.0,33.44,4199.0,10258.1380497389,0.00052,1,2.0,2.0,5,0.0,8044625.0,0.0,2,0.9277025474378886,0.4456916482645596,3,2024-06
6911,108,KOKRAJHAR,101.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,1.34,121.57,0.653134474113806,0,0,0,0,0,0.0,0.0,-0.1804600046641791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.93,6170.0,28754.0,119905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,7,0.0,0,9618.0,22,81.8433205057724,92.0,8.0,Chapar (Pt),KOKRAJHAR,228.37,18.5,3.0,16.32,8.75,8803.0,4631.18132307297,0.000518,1,2.0,1.6,5,0.0,8044625.0,0.0,1,0.9999999999999998,0.419682491466352,2,2024-06
6914,102,KOKRAJHAR,159.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,2.17,2.08,308.41,0.5052529961399778,0,0,0,0,0,0.0,0.0,-0.112196594531828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.94,3083.0,11042.0,56304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,21,21598.0,7,12049.0,5,78.1928471248247,45.0,2.0,Bhowraguri,KOKRAJHAR,2199.4,4.9,2.0,0.04,14.54,5047.0,1585.67912406164,0.000641,1,2.0,2.4,5,0.0,8044625.0,0.0,1,1.0,0.419682491466352,2,2024-06
6925,105,KOKRAJHAR,281.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0,110.0,0.0,0.0,12.0,11.0,0.0,0.0,2.0,1.97,503.57,0.7545765659265351,0,0,0,0,0,0.0,0.0,-0.2718144690084179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.93,5895.0,27164.0,113493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236,12,20462.0,6,54003.0,20,77.1437090041741,46.0,2.0,Bagribari (Pt),KOKRAJHAR,554.41709,9.0,2.0,0.0,27.94,10601.0,6823.79142292096,0.000538,1,2.0,2.0,5,0.0,8044625.0,0.0,1,1.0,0.419682491466352,2,2024-06
6927,103,KOKRAJHAR,304.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.17,1.81,490.55,0.4830282110916941,0,0,0,0,0,0.0,0.0,-0.1197423719822016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.94,10823.0,38689.0,197411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475,28,49459.0,9,42196.0,11,77.8102055800294,53.0,2.0,Dotoma,KOKRAJHAR,18388.485,9.2,2.0,1.85,20.1,39711.0,853.552863641768,0.000652,1,2.0,2.2,5,0.0,8044625.0,0.0,1,0.9626431804317716,0.419682491466352,2,2024-06
7033,101,KOKRAJHAR,1069.0,2024_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.625,435.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,1.81,1.14,1104.56,0.541936010774981,0,0,0,0,0,0.0,0.0,-0.1485286391784097,0.0,1.25317566342448,0.0018557515644971,0.15,890.43,0.0,0.0,0.0,0.0,0,0.94,18562.0,66164.0,339206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759,49,43237.0,8,84906.0,26,76.3699859162276,79.0,2.0,Gossaigaon (Pt),KOKRAJHAR,32583.05,6.1,2.0,0.94,20.16,62424.0,1718.76663843439,0.000542,2,2.0,2.4,5,588330640.0,8044625.0,0.0,5,0.7284996733870095,0.570518653974645,4,2024-07
7059,106,KOKRAJHAR,103.0,2024_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.15,106.49,0.6347703036530923,0,0,0,0,0,0.0,0.0,-0.2689709547089367,0.0,6.2814943527367495,0.0110866327417152,0.18,510.43,0.0,0.0,0.0,0.0,0,0.93,2715.0,12659.0,52712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,5,8748.0,3,12327.0,27,75.6955110870741,41.0,2.0,Golokganj (Pt),KOKRAJHAR,2400.48,7.3,2.0,0.14,35.77,14515.0,6931.46796608241,0.000576,1,2.0,2.2,5,0.0,8044625.0,0.0,4,0.7867654505892251,0.5111204747343463,3,2024-07
