,object-id,district,rc-area,timeperiod,total-tender-awarded-value,sopd-tenders-awarded-value,sdrf-sanctions-awarded-value,sdrf-tenders-awarded-value,ridf-tenders-awarded-value,ltif-tenders-awarded-value,cidf-tenders-awarded-value,restoration-measures-tenders-awarded-value,immediate-measures-tenders-awarded-value,others-tenders-awarded-value,total-animal-washed-away,total-animal-affected,population-affected-total,crop-area,total-house-fully-damaged,embankments-affected,roads,bridge,embankment-breached,unnamed:-0-x,max-rain,mean-rain,sum-rain,mean-ndvi,revenue-ci-x,district-3-x,district-1,revenue-cr,hq,area,are-new,mean-ndbi,count,inundation-pct,inundation-intensity-mean,inundation-intensity-mean-nonzero,inundation-intensity-sum,riverlevel-mean,riverlevel-min,riverlevel-max,relief-camp-inmates,human-live-lost,sexratio,sum-aged-population,sum-young-population,sum-population,unnamed:-0-y,water,trees,flooded-vegetation,crops,built-area,bare-ground,clouds,rangeland,schools-count,health-centres-count,rail-length,rail-count,road-length,road-count,mean-cn,elevation-mean,slope-mean,revenue-ci-y,district-3-y,net-sown-area-in-hac,avg-electricity,avg-tele,rc-piped-hhds-pct,rc-nosanitation-hhds-pct,total-hhd,distance-from-river,drainage-density,exposure,flood-hazard,flood-hazard-float,government-response,total-tenders-hist,sdrf-sanctions-hist,other-tenders-hist,vulnerability,efficiency,topsis-score,risk-score,timeperiod_iso
6971,248,CHARAIDEO,294.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.89,236.66,0.6353692021863214,0,0,0,0,0,0.0,0.0,-0.2789670352278084,0.0,5.917328998073209,0.0084533271401045,0.14,1123.14,0.0,0.0,0.0,0.0,0,0.93,10294.0,25727.0,167505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,21,12739.0,4,60265.0,39,77.6525343885434,102.0,2.0,Mahmora,CHARAIDEO,13418.18,8.4,2.0,1.04,18.16,29525.0,6029.04581495728,0.000666,1,1.0,1.2,5,378750000.0,0.0,378750000.0,4,0.7860855200309527,0.3133934986350633,1,2024-06
6987,278,CHARAIDEO,394.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.81,290.75,0.6606130701928633,0,0,0,0,0,0.0,0.0,-0.2646361634552875,0.0,3.7029125231186,0.0052898750330265,0.14,941.0,0.0,0.0,0.0,0.0,0,0.93,8109.0,20462.0,132438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352,37,27282.0,10,52173.0,16,76.9178968086602,126.0,3.0,Sapekhati,CHARAIDEO,6195.96,8.3,2.0,3.39,32.44,38275.0,5391.15081710738,0.000581,1,1.0,1.0,5,0.0,0.0,0.0,3,0.837338201110519,0.2715747822159057,1,2024-06
7006,279,CHARAIDEO,385.0,2024_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.87,306.69,0.6284125612493147,0,0,0,0,0,0.0,0.0,-0.246206129642955,0.0,4.19645794020393,0.005994939914577,0.14,1038.86,0.0,0.0,0.0,0.0,0,0.93,12282.0,30564.0,199022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,24,40471.0,10,66225.0,22,76.402451333814,109.0,3.0,Sonari,CHARAIDEO,4235.76,9.2,2.0,6.96,8.54,40393.0,2682.66295622245,0.000562,1,1.0,1.0,5,31626854.21,0.0,0.0,2,0.8911675360576101,0.2366368285346054,1,2024-06
7066,248,CHARAIDEO,294.0,2024_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13590.333333333334,49347.0,366.0,0.0,0.0,30.0,2.0,0.0,0.0,0.88,0.85,226.89,0.6353692021863214,0,0,0,0,0,0.0,0.0,-0.2789670352278084,0.0,12.67687259152216,0.0233966418937517,0.18,3108.57,0.0,0.0,0.0,0.0,0,0.93,10294.0,25727.0,167505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,21,12739.0,4,60265.0,39,77.6525343885434,102.0,2.0,Mahmora,CHARAIDEO,13418.18,8.4,2.0,1.04,18.16,29525.0,6029.04581495728,0.000666,1,2.0,1.6,5,378750000.0,0.0,378750000.0,4,0.7860855200309527,0.5111204747343463,3,2024-07
7083,278,CHARAIDEO,394.0,2024_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13590.333333333334,7525.0,518.0,0.0,0.0,9.0,1.0,0.0,0.0,0.88,0.87,310.59,0.6606130701928633,0,0,0,0,0,0.0,0.0,-0.2646361634552875,0.0,0.90563110289116,0.0012937587184159,0.14,230.14,0.0,0.0,0.0,0.0,0,0.93,8109.0,20462.0,132438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352,37,27282.0,10,52173.0,16,76.9178968086602,126.0,3.0,Sapekhati,CHARAIDEO,6195.96,8.3,2.0,3.39,32.44,38275.0,5391.15081710738,0.000581,1,2.0,1.6,5,0.0,0.0,0.0,3,0.837338201110519,0.4771995899668373,3,2024-07
7098,279,CHARAIDEO,385.0,2024_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13590.333333333334,12500.0,517.0,0.0,0.0,9.0,1.0,0.0,0.0,0.88,0.86,305.35,0.6284125612493147,0,0,0,0,0,0.0,0.0,-0.246206129642955,0.0,6.73614597579765,0.0126543354907532,0.19,2192.86,0.0,0.0,0.0,0.0,0,0.93,12282.0,30564.0,199022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,24,40471.0,10,66225.0,22,76.402451333814,109.0,3.0,Sonari,CHARAIDEO,4235.76,9.2,2.0,6.96,8.54,40393.0,2682.66295622245,0.000562,1,2.0,1.6,5,31626854.21,0.0,0.0,2,0.8911675360576101,0.4441993097528869,3,2024-07
7201,248,CHARAIDEO,294.0,2024_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.0,24219.0,4291.0,1.3333333333333333,0.0,28.0,0.0,0.0,0.0,0.87,0.83,219.85,0.6353692021863214,0,0,0,0,0,0.0,0.0,-0.2789670352278084,0.0,8.32881743737957,0.0416440871868978,0.5,5533.0,0.0,0.0,0.0,0.0,0,0.93,10294.0,25727.0,167505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,21,12739.0,4,60265.0,39,77.6525343885434,102.0,2.0,Mahmora,CHARAIDEO,13418.18,8.4,2.0,1.04,18.16,29525.0,6029.04581495728,0.000666,1,3.0,2.6,5,378750000.0,0.0,378750000.0,5,0.7860855200309527,0.733402609654762,5,2024-08
7224,278,CHARAIDEO,394.0,2024_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.0,4839.0,470.0,1.3333333333333333,0.0,6.0,0.0,0.0,0.0,0.87,0.79,284.67,0.6606130701928633,0,0,0,0,0,0.0,0.0,-0.2646361634552875,0.0,0.14728451207789,0.0007364225603894,0.5,131.0,0.0,0.0,0.0,0.0,0,0.93,8109.0,20462.0,132438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352,37,27282.0,10,52173.0,16,76.9178968086602,126.0,3.0,Sapekhati,CHARAIDEO,6195.96,8.3,2.0,3.39,32.44,38275.0,5391.15081710738,0.000581,1,2.0,2.0,5,0.0,0.0,0.0,4,0.837338201110519,0.5209462881764799,3,2024-08
7240,279,CHARAIDEO,385.0,2024_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.0,2232.0,649.0,1.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.83,0.81,286.34,0.6284125612493147,0,0,0,0,0,0.0,0.0,-0.246206129642955,0.0,1.69774192245324,0.0084887096122662,0.5,1471.0,0.0,0.0,0.0,0.0,0,0.93,12282.0,30564.0,199022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,24,40471.0,10,66225.0,22,76.402451333814,109.0,3.0,Sonari,CHARAIDEO,4235.76,9.2,2.0,6.96,8.54,40393.0,2682.66295622245,0.000562,1,2.0,2.2,5,31626854.21,0.0,0.0,3,0.8911675360576101,0.4794732533704423,3,2024-08
7390,248,CHARAIDEO,294.0,2024_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.44,117.01,0.6353692021863214,0,0,0,0,0,0.0,0.0,-0.2789670352278084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.93,10294.0,25727.0,167505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,21,12739.0,4,60265.0,39,77.6525343885434,102.0,2.0,Mahmora,CHARAIDEO,13418.18,8.4,2.0,1.04,18.16,29525.0,6029.04581495728,0.000666,1,2.0,1.8,5,378750000.0,0.0,378750000.0,5,0.8557935607535405,0.5370319589780757,4,2024-09
