,unnamed:_0,tender_id,tender_externalreference,tender_title,work_description,tender_category,tender_type,form_of_contract,product_category,is_multi_currency_allowed_for_boq,allow_two_stage_bidding,independent_external_monitor/remarks,published_date,pre_bid_meeting_date,bid_validity_days,should_allow_nda_tender,allow_preferential_bidder,payment_mode,bid_opening_date,organisation_chain,location,pincode,no_of_bids_received,tender_value_in_rupees,bidder_name,awarded_value,status,contract_date,department,is_flood_tender,positive_keywords_dict,negative_keywords_dict,season,scheme,erosion,roads_bridges_embkt,response_type,flood_response_-_subhead,month,tender_stage,tender_district_externalreference,tender_district_title_description,tender_district_location,btc_flag,district_finalised,tender_villages,tender_block,tender_subdistrict,tender_revenueci,hq_flag,revenue_circle_finalised,geometry,polygons,timeperiod
0,159,2017_DoWR_2083_1,Hailakandi/SDRF/2016-17/2,Dhaleswari Katakhal 1,Immediate measures to improvement of Dhaleswari Katakhal Drainage Basin Ph-II at Boraitoli under SDRF for 2016-17,Works,Open Tender,Works,Civil Works,No,No,NA ,08-Apr-2017 06:00 PM,NA ,180.0,No ,No,Offline,17-Apr-2017 02:05 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788163.0,3.0,10522483.0,DILWAR LASKAR,9469709.78,Accepted-AOC,04-Jul-2018,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,False,Repair and Restoration,{'improvement': 1},2018_07,,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2018-07
1,160,2017_DoWR_2238_1,Hailakandi/SDRF/2016-17/2,Dhaleswari Katakhal Drainage Basin Ph-II,Immediate measures to improvement of Dhaleswari Katakhal Drainage Basin Ph-II at Boraitoli under SDRF,Works,Open Tender,Works,Civil Works,No,No,NA ,11-May-2017 06:00 PM,NA ,180.0,No ,No,Offline,20-May-2017 02:05 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788163.0,3.0,12441390.0,M/S SUPREME ENTERPRISE,11196636.45,Accepted-AOC,04-Jul-2018,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,False,Repair and Restoration,{'improvement': 1},2018_07,,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2018-07
2,210,2018_DoWR_5796_1,HAILAKANDI/SDRF/2017-18/1,IM at Kalinagar Pk-1,Immediate measures to dyke along l/b of river Katakhal from Mohanpur to confluence (at kalinagar pt-v)for 2017-18 (under SDRF),Works,Open Tender,Works,Civil Works,No,No,NA ,16-Feb-2018 06:00 PM,NA ,180.0,No ,No,Offline,24-Feb-2018 02:05 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788155.0,3.0,19104469.0,NURUL ISLAM LASKAR,17193067.21,Accepted-AOC,04-Jul-2018,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 1, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,True,Immediate Measures,"{'sdrf': 2, 'im': 1, 'immediate': 1, 'pk': 1}",2018_07,,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,"'MOHANPUR', 'KALINAGAR'",HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2018-07
3,372,2018_DoWR_6310_2,HAILAKANDI/RIDF-XXIII/1,A E Measures to Protect Sahabad-Rongpur area,Anti Erosion Measures to Protect Sahabad-Rongpur area including NH-154 from the erosion of R/Katakhal on its L/B (Length-145m) under RIDF,Works,Open Tender,Works,Civil Works,No,No,NA ,30-Oct-2018 06:00 PM,NA ,180.0,No ,No,Offline,21-Nov-2018 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,34225321.0,KOLIM HUSSAIN LASKAR,33711633.17,Rejected-AOC,20-Sep-2019,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 2, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 1, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Post-Monsoon,RIDF,True,False,Others,,2019_09,AOC,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,"'SAHABAD', 'RONGPUR', 'Rongpur'",HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09
4,552,2019_DoWR_11496_1,HAILAKANDI/2018-19/SDRF/II,IM at Matijuri,Immediate measures to Restoration for damages occured at Matijuri (Roy Parra) area from the erosion of river Katakhal on its left bank for 2018-19 (under SDRF).,Works,Open Tender,Works,Civil Works,No,No,NA ,28-Jan-2019 06:00 PM,NA ,180.0,No ,No,Offline,08-Feb-2019 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,17998935.0,AMZAD HUSSAIN LASKAR,17603118.01,Accepted-AOC,16-Sep-2019,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 1, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,True,False,Repair and Restoration,{'restoration': 1},2019_09,AOC,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,"'MATIJURI', 'Matijuri'",HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09
6,570,2019_DoWR_11622_1,HAILAKANDI/2018-19/SDRF/V,IM to protect Nandigram Area,Immediate measures to protect Nandigram area from the erosion of river Katakhal on its right bank for 2018-19 under SDRF,Works,Open Tender,Works,Civil Works,No,No,NA ,04-Feb-2019 06:00 PM,NA ,180.0,No ,No,Offline,15-Feb-2019 02:05 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,19999960.0,SRI KISHORE CHAKRABORTY,17999163.98,Accepted-AOC,13-Sep-2019,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 1, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,True,False,Immediate Measures,"{'sdrf': 2, 'im': 1, 'immediate': 1}",2019_09,AOC,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09
7,571,2019_DoWR_11623_1,HAILAKANDI/2018-19/SDRF/VI,IM from Mahadev Tilla to Rupacherra Bunglow Tilla,Immediate measures to dyke along R/b of river Katakhal from Mahadev Tilla to Rupacherra Bunglow Tilla (Breach Closing Work) along with construction of 1.20x1.20M Box type sluice culvert for 2018-19 (Under SDRF),Works,Open Tender,Works,Civil Works,No,No,NA ,04-Feb-2019 06:00 PM,NA ,180.0,No ,No,Offline,15-Feb-2019 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,8284893.0,DILNUR SATHI,8110554.19,Accepted-AOC,16-Sep-2019,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 2, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 1, 'Culvert': 1, 'Sluice': 1, 'Dyke': 1, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,True,Immediate Measures,"{'sdrf': 2, 'im': 1, 'immediate': 1}",2019_09,AOC,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09
8,572,2019_DoWR_11627_1,HAILAKANDI/2018-19/SDRF/IV,IM FROM MOHANPUR TO CONFLUENCE,IMMEDIATE MEASURES TO DYKE ALONG L/B OF RIVER KATAKHAL FROM MOHANPUR TO CONFLUENCE FOR 2018-19 (BREACH CLOSING WORK).,Works,Open Tender,Works,Civil Works,No,No,NA ,04-Feb-2019 06:00 PM,NA ,180.0,No ,No,Offline,15-Feb-2019 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,8999804.0,farooq ahmed barbhuiya,8099394.47,Accepted-AOC,17-Sep-2019,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 1, 'Culvert': 0, 'Sluice': 0, 'Dyke': 1, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 1, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,False,True,Immediate Measures,"{'sdrf': 1, 'im': 1, 'immediate': 1}",2019_09,AOC,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,'MOHANPUR',HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2019-09
9,750,2020_DoWR_16507_1,HAILAKANDI/2019-20/MnR/I,MnR to marginal embankment along both bank of river Sonacherra and Balicherra for the year 2019-20.,MnR to marginal embankment along both bank of river Sonacherra and Balicherra for the year 2019-20.,Works,Open Tender,Works,Civil Works,No,No,NA ,14-Feb-2020 06:00 PM,NA ,180.0,No ,No,Online,21-Feb-2020 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788155.0,3.0,6499713.0,SAJIDUR RAHMAN,6499675.78,Not Admitted-Fee,07-Mar-2020,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 0, 'Embankment': 2, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,,False,True,Others,,2020_03,AOC,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2020-03
10,817,2020_DoWR_16159_1,HAILAKANDI/2019-20/SOPD-FDR/I,Restoration of Nandigram area from flood damages of river Katakhal on its Right Bank.,Restoration of Nandigram area from flood damages of river Katakhal on its Right Bank.,Works,Open Tender,Works,Civil Works,No,No,NA ,29-Jan-2020 06:30 PM,NA ,180.0,No ,No,Online,20-Feb-2020 02:00 PM,Department of Water Resources||Chief Engineer - DoWR,Hailakandi,788152.0,3.0,75322151.0,GTC-UCNC JV,74710241.99,Accepted-AOC,02-Jun-2020,Department of Water Resources||Chief Engineer - DoWR,True,"{'Flood': 2, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SOPD,False,False,Repair and Restoration,{'restoration': 2},2020_06,AOC,HAILAKANDI,,HAILAKANDI,False,HAILAKANDI,,HAILAKANDI,Hailakandi,Hailakandi,True,Hailakandi,"POLYGON ((92.53424687083123 24.75483721712959, 92.50467487875201 24.70249785531042, 92.49339040115471 24.674559422308576, 92.5060229643292 24.6644004824451, 92.50703687572239 24.62892868225867, 92.54459452775808 24.656625621645848, 92.58659299062099 24.649463756076, 92.60073880541745 24.623811819136034, 92.62949117822468 24.636106636331192, 92.66546022076581 24.627616921119078, 92.66508552178271 24.67356859167686, 92.65477131452377 24.74082889505225, 92.61041855504908 24.712805185679414, 92.57419400289506 24.72927012307334, 92.53975125641217 24.735599598317688, 92.53424687083123 24.75483721712959))","[[92.53424687083123, 24.75483721712959], [92.50467487875201, 24.70249785531042], [92.49339040115471, 24.674559422308576], [92.5060229643292, 24.6644004824451], [92.50703687572239, 24.62892868225867], [92.54459452775808, 24.656625621645848], [92.58659299062099, 24.649463756076], [92.60073880541745, 24.623811819136034], [92.62949117822468, 24.636106636331192], [92.66546022076581, 24.627616921119078], [92.66508552178271, 24.67356859167686], [92.65477131452377, 24.74082889505225], [92.61041855504908, 24.712805185679414], [92.57419400289506, 24.72927012307334], [92.53975125641217, 24.735599598317688], [92.53424687083123, 24.75483721712959]]",2020-06
