district_clean,cra_tender_count,cra_total_spend,drought_risk_score,cyclone_risk_score,combined_risk_score,total_pop,agri_pop,spend_per_lakh_agri_pop,tenders_per_lakh_agri_pop,equity_gap_flag
Ganjam,190,857182783.34,3.0,5.0,4.0,3520151,2000000,42859139.0,9.5,False
Kendrapara,14,3986322360.923,2.0,5.0,3.5,1440891,900000,442924707.0,1.56,False
Balasore,93,245833539.51999998,2.0,5.0,3.5,2317419,1300000,18910272.0,7.15,False
Bhadrak,14,12567901.0,2.0,5.0,3.5,1506522,900000,1396433.0,1.56,True
Puri,21,133443774.947,2.0,5.0,3.5,1498604,750000,17792503.0,2.8,False
Gajapati,3,5767523.0,3.0,4.0,3.5,575880,400000,1441881.0,0.75,True
Jagatsinghpur,16,39871024.84,2.0,5.0,3.5,1136604,750000,5316137.0,2.13,True
Bolangir,12,10200584140.15,5.0,1.0,3.0,1648574,1100000,927325831.0,1.09,False
Kalahandi,33,98377329.0,5.0,1.0,3.0,1573054,1000000,9837733.0,3.3,True
Nuapada,10,73743848.0,5.0,1.0,3.0,606490,420000,17558059.0,2.38,True
Khordha,61,2216885560.14,2.0,4.0,3.0,2246341,600000,369480927.0,10.17,False
Koraput,87,191522891.53,3.0,2.0,2.5,1376934,900000,21280321.0,9.67,False
Angul,5,530656246.99,3.0,2.0,2.5,1271703,750000,70754166.0,0.67,False
Nabarangpur,33,51981425.332,4.0,1.0,2.5,1218762,850000,6115462.0,3.88,True
Rayagada,8,59628663.98,3.0,2.0,2.5,1001544,680000,8768921.0,1.18,True
Sonepur,13,154325628.48,4.0,1.0,2.5,652107,450000,34294584.0,2.89,False
Nayagarh,30,12568255.58,3.0,2.0,2.5,962215,650000,1933578.0,4.62,True
Kandhamal,25,116860306.76,3.0,2.0,2.5,731952,500000,23372061.0,5.0,False
Jajpur,50,450558031.23,2.0,3.0,2.5,1826275,1100000,40959821.0,4.55,False
Dhenkanal,23,40170573.34,3.0,2.0,2.5,1192948,700000,5738653.0,3.29,True
Cuttack,29,157469234.07,2.0,3.0,2.5,2618708,1200000,13122436.0,2.42,True
Boudh,7,33722071.0,4.0,1.0,2.5,441162,280000,12043597.0,2.5,True
Bargarh,66,340797433.348,4.0,1.0,2.5,1478833,950000,35873414.0,6.95,False
Kendujhar,35,728107499.57,3.0,1.0,2.0,1802777,1100000,66191591.0,3.18,False
Jharsuguda,18,43928531.66,3.0,1.0,2.0,590300,250000,17571413.0,7.2,False
Malkangiri,2,1098917.0,3.0,1.0,2.0,612727,420000,261647.0,0.48,False
Deogarh,6,6501483.04,3.0,1.0,2.0,312520,200000,3250742.0,3.0,False
Sambalpur,20,35870072.0,3.0,1.0,2.0,1044410,500000,7174014.0,4.0,False
Sundargarh,40,236532799.56,3.0,1.0,2.0,2093437,900000,26281422.0,4.44,False
Mayurbhanj,176,669799751.081,2.0,1.0,1.5,2513895,1700000,39399985.0,10.35,False
