field_1,State,Title,District,Block,Pincode,Latitude,Longitude,Organisation_Chain,Bid_Opening_Place,Work_Description,Season,Contract_Date,Product_Category,Sub_category,Tender_Reference_Number,Tender_ID,Awarded_Value,Contract_Value,Tender_Value,Response_Type
25,Odisha,Improvement to service road of LBC from RD 0.00 Km to RD 5.80 Km and approach road to left and right side afflux bundh of Samal Barrage of RIP for the year 202223.,Angul,ANGUL,759037,20.95,85.26666666666667,CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||Headworks Division Samal,Office of the ACE RHWC Samal,Improvement to service road of LBC from RD 0.00 Km to RD 5.80 Km and approach road to left and right side afflux bundh of Samal Barrage of RIP for the year 202223.,Post-Monsoon,2023-01-27,Civil Works - Roads,,ACE-RHWC-02/2022-23,2022_CEBBS_82016_1,38640622.48,38640622.48,45454208,
87,Odisha,Improvement to Rengali Irrigation Project Guest House Road and restoration of road from Panitanki Colony to over head tank at SBTS for the year 2022-23.,Angul,TALCHER,759037,20.95,85.26666666666667,CE and BM Brahmani Basin Samal,Office of the Superintending Engineer HWD Samal,Improvement to Rengali Irrigation Project Guest House Road and restoration of road from Panitanki Colony to over head tank at SBTS for the year 2022-23.,Pre-Monsoon,2023-03-02,Civil Works - Roads,Road,SE-HWD-14/2022-23,2023_CEBBS_85871_1,1073653.35,1073653.35,1262973,
180,Odisha,Construction of 10 Nos.HP culverts in different stretches on Gunupur-Padmapur road,Bargarh,,765025,26.78333333333333,83.53333333333333,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,O/O EE RAYAGADA (RANDB) DIVISION II,Construction of 10 Nos. HP culverts in different stretches on Gunupur-Padmapur road,Monsoon,2022-06-28,Civil Works - Roads,,RC (RANDB) RGD No-II 09/2021-22,2021_EICCL_72112_9,2222581.0,2222581.0,2614493,
349,Odisha,1.Renovation of Kachera D/C under Kantapada Block,Cuttack,,754002,20.466666666666665,85.9,CEDrainageCuttack||SEDrainageCuttack,ACE Drainage Circle Cuttack,1.Renovation of Kachera D/C under Kantapada Block (Doab-V),Pre-Monsoon,2023-04-19,Civil Works - Others,,ACEDC-CTC -DD-CTC -13/2022-23,2022_CEDC_81898_1,9332840.0,9332840.0,10978520,
404,Odisha,Restoration to Spur at RD 37.90 Km on Mahanadi right near Tarapur,Cuttack,,754131,20.466666666666665,85.9,CE-BMLMB BasinBBSR||SE Eastern CircleCuttack||EEMahanadi South DivisionCuttack,S.E Mahanadi South Division-I Cuttack,Restoration to Spur at RD 37.90 Km on Mahanadi right near Tarapur,Pre-Monsoon,2023-03-18,Civil Works - Others,,IFB No.04 MSD / (Online) 2022-23,2023_CELBB_85510_7,1070033.0,1070033.0,1258715,
784,Odisha,Improvement of canal banks including restoration of damaged fall at RD 410M and canal lining from RD 195 M to 695M of Murlapadar Minor.,Kalahandi,,766026,19.666666666666668,83.0,CCE Upper Indravati Irrigation Project Mukhiguda||CCE Upper Indravati Irrigation Project Mukhiguda||EE Right Canal Divn-I Mukhiguda,Office of the EE RCD-I Mukhiguda,Canal Work,Post-Monsoon,2023-01-15,Civil Works - Canal,,EERCD-I-07(01-05)/2021-22 Dt. 19.07.2021.,2021_CEUIP_69963_2,2420619.0,2420619.0,2847452,
906,Odisha,Renovation to CD and drain at entrance of Gallery road of Upper Kolab Dam at Kolabnagar,Koraput,,764011,18.866666666666667,82.63333333333334,CCEUpper Kolab ProjectJeypore||CCEUpper Kolab Project Bariniput||EE  Upper Kolab Headworks DivisionKolabnagar,Office of the SE UKHW DIVN KolabnagarKoraput,Dam renovation work,Post-Monsoon,2022-11-05,Civil Works - Canal,,SE-UKHWD-05 /2021-22 (SL.No. 01) ),2022_CCEJE_76489_1,606260.86,713164.17,713164,
950,Odisha,Reaming of porous pipes and foundation drainage holes inside gallery of U.K. Dam.,Koraput,,764011,18.866666666666667,82.63333333333334,CCEUpper Kolab ProjectJeypore||CCEUpper Kolab Project Bariniput||EE  Upper Kolab Headworks DivisionKolabnagar,Office of the SE UKHW DIVN Kolabnagar Koraput.,Dam maintenance work.,Pre-Monsoon,2023-03-22,Civil Works - Others,,SE-UKHWD-05/2022-23(Sl.No.15),2022_CCEJE_83481_1,3937605.39,4631932.0,4631932,
961,Odisha,Repair and renovation of roof and drain of E type and F type Qtrs at Kolabnagar colony,Koraput,,764011,18.866666666666667,82.63333333333334,CCEUpper Kolab ProjectJeypore||CCEUpper Kolab Project Bariniput||EE  Upper Kolab Headworks DivisionKolabnagar,Office of the SE UKHWD KolabnagarDist-Koraput.,Colony Quarters works,Pre-Monsoon,2023-03-22,Civil Works - Buildings,,SE-UKHWD-06-2022-23(Sl.No.05),2023_CCEJE_84879_1,730819.7,859686.75,859687,
963,Odisha,Development of proposed garden at Satiguda Dam including concrete drains laying of floor tiles Over walkway paths providing steel hand railsat the steps,Koraput,,764011,18.866666666666667,82.63333333333334,CCEUpper Kolab ProjectJeypore||CCEUpper Kolab Project Bariniput||EE  Upper Kolab Headworks DivisionKolabnagar,O/O THE SE U.K.H.W DIV. KOLABNAGAR,Concrete Drain Walk way Path etc.,Pre-Monsoon,2023-03-22,Civil Works - Others,,SE-UKHWD-10/2022-23 (2),2023_CCEJE_86077_1,1110392.64,1306190.61,1306191,
