,State,Title,District,Block,Pincode,Latitude,Longitude,Organisation_Chain,Bid_Opening_Place,Work_Description,Season,Contract_Date ,Product_Category,Sub_category,Tender_Reference_Number,Tender_ID,Awarded_Value,Contract_Value ,Tender_Value ,Response_Type
0,Odisha,Improvement to Pallahara Town road such as widening and improvement of the road construction of box cell culvert alongwith drain for 2021-22.,Angul,ANGUL,759122,20.95,85.26666666666667,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,O/O the Executive Engineer Angul R and B Division,Improvement to Pallahara Town road such as widening and improvement of the road construction of box cell culvert alongwith drain for 2021-22.,Monsoon,2022-06-25,Civil Works - Roads,,EE (R and B) Angul-06/ 2021-22,2021_EICCL_70927_8,5766415.0,5766415.0,6091069,
1,Odisha,S/R to Angul town road from Aptech Chhaka to Railway station via Salvation Army - construction of drain and paver block ch 0/000 to 1/200 km,Angul,ANGUL,759122,20.95,85.26666666666667,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,O/O the Executive Engineer Angul R and B Division,S/R to Angul town road from Aptech Chhaka to Railway station via Salvation Army - construction of drain and paver block ch 0/000 to 1/200 km,Monsoon,2022-06-25,Civil Works - Roads,,EE (R and B) Angul-10/ 2021-22,2021_EICCL_71932_12,891199.0,891199.0,1048346,
2,Odisha,S/R to NH 157 B to Helei via Belataila road such as construction of 2x1000 mm. dia Hume pipe culvert at 6/375 km and 6/460 km for the year 2021-22,Angul,ANGUL,759122,20.95,85.26666666666667,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,O/O the Executive Engineer Angul R and B Division,S/R to NH 157 B to Helei via Belataila road such as construction of 2x1000 mm. dia Hume pipe culvert at 6/375 km and 6/460 km for the year 2021-22,Monsoon,2022-06-26,Civil Works - Roads,,EE (R and B) Angul-10/ 2021-22,2021_EICCL_71932_7,751225.0,751225.0,883690,
3,Odisha,Construction of Boxcell Culvert at 32.900 km on Angul Tikarpada road under state plan for the year 2021-22.,Angul,ANGUL,759122,20.95,85.26666666666667,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,O/O the Executive Engineer Angul R and B Division,Construction of Boxcell Culvert at 32.900 km on Angul Tikarpada road under state plan for the year 2021-22.,Monsoon,2022-06-26,Civil Works - Roads,,EE (R and B) Angul-12/ 2021-22,2021_EICCL_72245_3,6377510.0,6377510.0,7502070,
4,Odisha,SR to such as construction of Box cell and Drain at Mahidharpur chhak of Nuahata Mahidharpur road.,Angul,ANGUL,759122,20.95,85.26666666666667,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,O/O the Executive Engineer Angul R and B Division,SR to such as construction of Box cell and Drain at Mahidharpur chhak of Nuahata Mahidharpur road.,Monsoon,2022-06-25,Civil Works - Roads,,EE (R and B) Angul-12/ 2021-22,2021_EICCL_72246_1,1520032.0,1520032.0,1788063,
5,Odisha,Construction of bridge cum wire under bridge on Kankurpal Nallah at 13.500km of Kosala Chhendipada road ODR in the district of Angul,Angul,ANGUL,759122,20.95,85.26666666666667,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,O/O the Superintending Engineer Angul RB Division,Construction of bridge cum wire under bridge on Kankurpal Nallah at 13.500km of Kosala Chhendipada road ODR in the district of Angul,Monsoon,2022-06-25,Civil Works - Roads,,SE (R and B) Angul-21/ 2021-22,2021_EICCL_74495_1,7872065.0,7872065.0,9260164,
6,Odisha,Construction of SKEW culvert at Uamsankar Acharaya house of ward No.17 Bharata Nagar,Angul,ANGUL,759122,20.95,85.26666666666667,Municipal Bodies||Angul Municipality,O/O Executive Officer Angul Municipality Angul,Construction of SKEW culvert at Uamsankar Acharaya house of ward No.17 Bharata Nagar,Post-Monsoon,2023-01-17,Civil Works - Others,,EO/AGLM-09/2021-22,2021_ORULB_70459_1,116130.0,136607.92,136600,
7,Odisha,Construction of RCC culvert to Bharat Nagar slum in ward No.17,Angul,ANGUL,759122,20.95,85.26666666666667,Municipal Bodies||Angul Municipality,O/O Executive Officer Angul Municipality Angul,Construction of RCC culvert to Bharat Nagar slum in ward No.17,Post-Monsoon,2023-01-18,Civil Works - Others,,EO/AGLM-09/2021-22,2021_ORULB_70459_2,150802.0,177393.77,177400,
8,Odisha,Restoration of boundary wall at Eco Park and Municipal Colony,Angul,ANGUL,759122,20.95,85.26666666666667,Municipal Bodies||Angul Municipality,O/O Executive Officer Angul Municipality Angul,Restoration of boundary wall at Eco Park and Municipal Colony,Post-Monsoon,2023-01-18,Civil Works - Others,,EO/AGLM-09/2021-22,2021_ORULB_70459_3,227705.0,267857.02,267900,
9,Odisha,Construction of drain from Omm residency towards PWD drain in ward No.6,Angul,ANGUL,759122,20.95,85.26666666666667,Municipal Bodies||Angul Municipality,O/O Executive Officer Angul Municipality Angul,Construction of drain from Omm residency towards PWD drain in ward No.6,Post-Monsoon,2023-01-24,Civil Works - Others,,EO/AGLM-15/2021-22,2021_ORULB_71271_1,944008.0,991488.81,991490,
10,Odisha,Const. of drain from Debendra Behera house to Jagurti Community Centre in ward No.16,Angul,ANGUL,759122,20.95,85.26666666666667,Municipal Bodies||Angul Municipality,O/O Executive Officer Angul Municipality Angul,Const. of drain from Debendra Behera house to Jagurti Community Centre in ward No.16,Post-Monsoon,2023-01-17,Civil Works - Others,,EO/AGLM-18/2021-22,2021_ORULB_72308_15,400000.0,357143.12,357143,
11,Odisha,Const. of road culvert from Pramila Rath house to Kulamani Mohapatra house in ward No.15,Angul,ANGUL,759122,20.95,85.26666666666667,Municipal Bodies||Angul Municipality,O/O Executive Officer Angul Municipality Angul,Const. of road culvert from Pramila Rath house to Kulamani Mohapatra house in ward No.15,Post-Monsoon,2023-01-17,Civil Works - Others,,EO/AGLM-18/2021-22,2021_ORULB_72308_38,1200000.0,1071428.74,1071429,
12,Odisha,Const. of drain back side of Municipal Colony in ward No.20,Angul,ANGUL,759122,20.95,85.26666666666667,Municipal Bodies||Angul Municipality,O/O Executive Officer Angul Municipality Angul,Const. of drain back side of Municipal Colony in ward No.20,Post-Monsoon,2023-01-18,Civil Works - Others,,EO/AGLM-18/2021-22,2021_ORULB_72308_4,1315000.0,1174106.96,1174107,
