,tender_title,location,Pincode,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,tender_externalreference,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,tender_district_externalReference,tender_district_title_description,tender_district_location,DISTRICT_FINALISED,tender_villages,tender_block,tender_subdistrict,gp,tender_block_location,BLOCK_FINALISED
146,Construction of bridge cum wire under bridge on Kankurpal Nallah at 13.500km of Kosala Chhendipada road ODR in the district of Angul,ANGUL,759122,EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB Angul Division,O/O the Superintending Engineer Angul RB Division,Construction of bridge cum wire under bridge on Kankurpal Nallah at 13.500km of Kosala Chhendipada road ODR in the district of Angul,"92,60,164",Civil Works - Roads,,SE (R and B) Angul-21/ 2021-22,2021_EICCL_74495_1,Open Tender,Works,Nil,Nil,"7,872,065",25-Jun-2022,"INR 7,872,065",NA,Anugul,NA,Anugul,"'KOSALA', 'CHHENDIPADA'",CHHENDIPADA,,KOSALA,CHHENDIPADA,CHHENDIPADA
168,Construction of c.c. drain from Mahendra Bastia house towards Industrial estate in ward No.12,Angul,759122,Municipal Bodies||Angul Municipality,"O/O Executive Officer, Angul Municipality, Angul",Construction of c.c. drain from Mahendra Bastia house towards Industrial estate in ward No.12,"2,73,290",Civil Works - Others,,EO/AGLM-02/2022-23,2022_ORULB_77875_5,Open Tender,Works,Nil,Nil,"232,324",20-Oct-2022,"INR 273,290.24",NA,Anugul,NA,Anugul,,,,,CHHENDIPADA,CHHENDIPADA
292,Construction of Matellia IV Check Dam in Banarapal Block of Angul District under MATY Grant for the year 2022-23,"Banarpal, Angul",759128,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR",ACE CMIC Bhubaneswar,Construction of Matellia IV Check Dam in Banarapal Block of Angul District under MATY Grant for the year 2022-23,"1,25,36,000",Civil Works - Others,,SECMIC/04/2022-23,2023_CEMIB_85186_1,Open Tender,Works,Nil,Nil,"10,657,273",01-Mar-2023,"INR 10,657,273",NA,NA,Anugul,Anugul,,,,,CHHENDIPADA,CHHENDIPADA
711,"Improvement to service road of LBC from RD 0.00 Km to RD 5.80 Km and approach road to left and right side afflux bundh of Samal Barrage of RIP for the year 2022,23.","Samal, Angul, Odisha",759037,CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||Headworks Division Samal,"Office of the ACE, RHWC, Samal","Improvement to service road of LBC from RD 0.00 Km to RD 5.80 Km and approach road to left and right side afflux bundh of Samal Barrage of RIP for the year 2022,23.","4,54,54,208",Civil Works - Roads,,ACE-RHWC-02/2022-23,2022_CEBBS_82016_1,Open Tender,Works,Nil,Nil,"38,640,622.48",27-Jan-2023,"INR 38,640,622.48",NA,Anugul,NA,Anugul,'SAMAL',PALALAHADA,,,CHHENDIPADA,CHHENDIPADA
1018,"Retrofitting of 70LPCD for RPWS to village Bonda, Chauridiha, Jhajiribahal, Tulasipal and Rajibpur of 11nos. Fluoride affected villages under Banarpal Block in Angul District. (Including 5years OM)",Angul,759100,Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||EE RWSS Divn Angul,"E.E, RWSS Division, Angul at Talcher","Retrofitting of 70LPCD for RPWS to village Bonda, Chauridiha, Jhajiribahal, Tulasipal and Rajibpur of 11nos. Fluoride affected villages under Banarpal Block in Angul District. (Including 5years OM)","3,67,62,000",Civil Works - Water Works,,11/EE/RWSS/ANGUL/2021-22 (JJM),2022_RWSS_76736_1,National Competitive Bid,Works,Nil,Nil,"31,251,408",29-Jul-2022,"INR 31,251,408",NA,Anugul,NA,Anugul,"'RAJIBPUR', 'JHAJIRIBAHAL', 'TULASIPAL', 'CHAURIDIHA', 'BANARPAL'",BANARPAL,,TULASIPAL,BANARPAL,BANARPAL
1019,Retrofitting of 70LPCD for RPWS to village Kulad and Girang of 11nos. Fluoride affected villages under Banarpal Block in Angul District. (Including 5years OM),Angul,759100,Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||EE RWSS Divn Angul,"E.E, RWSS Division, Angul at Talcher",Retrofitting of 70LPCD for RPWS to village Kulad and Girang of 11nos. Fluoride affected villages under Banarpal Block in Angul District. (Including 5years OM),"4,45,77,000",Civil Works - Water Works,,08/SE/RWSS/ANGUL/2021-22 (JJM),2022_RWSS_76316_1,National Competitive Bid,Works,Nil,Nil,"47,144,482",16-Dec-2022,"INR 47,144,482",NA,Anugul,NA,Anugul,"'GIRANG', 'BANARPAL'",BANARPAL,,BANARPAL,BANARPAL,BANARPAL
1027,"RPWS to 40LPCD Retrofitting to villages Kakudia, Saradhapur and Pabitranagar under Kaniha Block. (including 5years OM)",Angul,759100,Rural Water Supply and Sanitation||RWSS Circle Bhubaneswar||EE RWSS Divn Angul,"S.E, RWSS Division, Angul at Talcher","Laying of pipe line, const. of PH, CW, internal electrification to PH, supplying, fitting and fixing of pumping set, const. of ESR and UGR and other ancillary works for PWS to village Kakudia, Saradhapur and Pabitranagar under Kaniha Block in Angul.","4,06,72,000",Civil Works - Water Works,,06/ESE/RWSS/ANGUL/2021-22 (JJM),2021_RWSS_73582_1,National Competitive Bid,Works,Nil,Nil,"34,575,441",19-Dec-2022,"INR 34,575,441",NA,Anugul,NA,Anugul,"'SARADHAPUR', 'KANIHA', 'KAKUDIA'",KANIHA,,KAKUDIA,KANIHA,KANIHA
143,Construction of Boxcell culvert (1X6X3M) at 7/500 Km on PWD road to Karmeli for the year 2022-23,Dharmagarh / Kalahandi,766015,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,"O/o the SE, RWD, Dharmagarh",Construction of Boxcell culvert (1X6X3M) at 7/500 Km on PWD road to Karmeli for the year 2022-23,"23,89,097",Civil Works - Bridges,,DMGH / Online-13 of 2022-23,2023_CERWI_85315_1,National Competitive Bid,Works,Nil,Nil,2030971,28-Feb-2023,INR 2030971.0,NA,NA,Kalahandi,Kalahandi,'KARMELI',JAYAPATNA,,,KANIHA,KANIHA
144,Construction of Boxcell culvert (2X6X3M) at 0/300 Km on Tingipokhan to Jhariguma road for the year 2022-23,Dharmagarh / Kalahandi,766015,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,"O/o the SE, RWD, Dharmagarh",Construction of Boxcell culvert (2X6X3M) at 0/300 Km on Tingipokhan to Jhariguma road for the year 2022-23,"37,47,096",Civil Works - Bridges,,DMGH / Online-13 of 2022-23,2023_CERWI_85315_2,National Competitive Bid,Works,Nil,Nil,3185406,28-Feb-2023,INR 3185406.0,NA,NA,Kalahandi,Kalahandi,,,,,KANIHA,KANIHA
177,Construction of CC drain and CC wearing coat on Koksara to Majhiguda in the Dist of Kalahandi,Dharmagarh / Kalahandi,766015,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,"O/o the SE, RWD, Dharmagarh",Construction of CC drain and CC wearing coat on Koksara to Majhiguda in the Dist of Kalahandi,"15,12,807",Civil Works - Roads,,DMGH / Online-15 of 2022-23,2023_CERWI_85719_5,National Competitive Bid,Works,Nil,Nil,1286037.98,01-Mar-2023,INR 1512807.88,NA,Kalahandi,Kalahandi,Kalahandi,'MAJHIGUDA',KOKASARA,,KOKSARA,KANIHA,KANIHA
