district_clean,drought_risk_score,cyclone_risk_score,combined_risk_score,cra_tender_count,spend_crore,spend_per_lakh_agri_pop,spend_per_capita,tenders_per_lakh,risk_pct,spend_pct,cra_gap_score,cra_class,cra_class_label,equity_gap_flag
Ganjam,3.0,5.0,4.0,190,85.72,42859139.0,244,9.5,100.0,83.3,16.7,2,Well-served,False
Kendrapara,2.0,5.0,3.5,14,398.63,442924707.0,2767,1.56,88.3,96.7,-8.4,2,Well-served,False
Balasore,2.0,5.0,3.5,93,24.58,18910272.0,106,7.15,88.3,56.7,31.6,4,Priority,False
Bhadrak,2.0,5.0,3.5,14,1.26,1396433.0,8,1.56,88.3,6.7,81.6,5,Critical Gap,True
Puri,2.0,5.0,3.5,21,13.34,17792503.0,89,2.8,88.3,53.3,35.0,4,Priority,False
Gajapati,3.0,4.0,3.5,3,0.58,1441881.0,10,0.75,88.3,10.0,78.3,5,Critical Gap,True
Jagatsinghpur,2.0,5.0,3.5,16,3.99,5316137.0,35,2.13,88.3,20.0,68.3,5,Critical Gap,True
Bolangir,5.0,1.0,3.0,12,1020.06,927325831.0,6188,1.09,71.7,100.0,-28.3,2,Well-served,False
Kalahandi,5.0,1.0,3.0,33,9.84,9837733.0,63,3.3,71.7,36.7,35.0,4,Priority,True
Nuapada,5.0,1.0,3.0,10,7.37,17558059.0,122,2.38,71.7,46.7,25.0,4,Priority,True
Khordha,2.0,4.0,3.0,61,221.69,369480927.0,987,10.17,71.7,93.3,-21.6,2,Well-served,False
Koraput,3.0,2.0,2.5,87,19.15,21280321.0,139,9.67,45.0,60.0,-15.0,1,Lower Concern,False
Angul,3.0,2.0,2.5,5,53.07,70754166.0,417,0.67,45.0,90.0,-45.0,1,Lower Concern,False
Nabarangpur,4.0,1.0,2.5,33,5.2,6115462.0,43,3.88,45.0,26.7,18.3,3,Moderate Gap,True
Rayagada,3.0,2.0,2.5,8,5.96,8768921.0,60,1.18,45.0,33.3,11.7,3,Moderate Gap,True
Sonepur,4.0,1.0,2.5,13,15.43,34294584.0,237,2.89,45.0,70.0,-25.0,1,Lower Concern,False
Nayagarh,3.0,2.0,2.5,30,1.26,1933578.0,13,4.62,45.0,13.3,31.7,3,Moderate Gap,True
Kandhamal,3.0,2.0,2.5,25,11.69,23372061.0,160,5.0,45.0,63.3,-18.3,1,Lower Concern,False
Jajpur,2.0,3.0,2.5,50,45.06,40959821.0,247,4.55,45.0,80.0,-35.0,1,Lower Concern,False
Dhenkanal,3.0,2.0,2.5,23,4.02,5738653.0,34,3.29,45.0,23.3,21.7,3,Moderate Gap,True
Cuttack,2.0,3.0,2.5,29,15.75,13122436.0,60,2.42,45.0,43.3,1.7,1,Lower Concern,True
Boudh,4.0,1.0,2.5,7,3.37,12043597.0,76,2.5,45.0,40.0,5.0,1,Lower Concern,True
Bargarh,4.0,1.0,2.5,66,34.08,35873414.0,230,6.95,45.0,73.3,-28.3,1,Lower Concern,False
Kendujhar,3.0,1.0,2.0,35,72.81,66191591.0,404,3.18,15.0,86.7,-71.7,1,Lower Concern,False
Jharsuguda,3.0,1.0,2.0,18,4.39,17571413.0,74,7.2,15.0,50.0,-35.0,1,Lower Concern,False
Malkangiri,3.0,1.0,2.0,2,0.11,261647.0,2,0.48,15.0,3.3,11.7,3,Moderate Gap,False
Deogarh,3.0,1.0,2.0,6,0.65,3250742.0,21,3.0,15.0,16.7,-1.7,3,Moderate Gap,False
Sambalpur,3.0,1.0,2.0,20,3.59,7174014.0,34,4.0,15.0,30.0,-15.0,3,Moderate Gap,False
Sundargarh,3.0,1.0,2.0,40,23.65,26281422.0,113,4.44,15.0,66.7,-51.7,1,Lower Concern,False
Mayurbhanj,2.0,1.0,1.5,176,66.98,39399985.0,266,10.35,3.3,76.7,-73.4,1,Lower Concern,False
