block_lgd,dtname,dtcode11,block_name,block_area,object_id,spei_mean,spei_class
03466,Koraput,398,BANDHUGAON,409,21-398,0.5502362750065377,2
03573,Sundargarh,374,BALISANKARA,692,21-374,-0.30550537109375,3
03480,Malkangiri,399,KALIMELA,1205,21-399,0.7406418411820023,2
03487,Mayurbhanj,376,BADASAHI,352,21-376,-0.5346628574314963,3
03298,Baleshwar,377,BAHANAGA,238,21-377,-0.4853029018495141,3
03346,Deogarh,373,BARKOTE,943,21-373,-0.8890634697174358,3
03276,Anugul,384,ANUGUL,1116,21-384,-1.1639529334174261,4
03513,Nabarangpur,397,CHANDAHANDI,241,21-397,0.2605460914405617,2
03394,Jajapur,382,BADCHANA,380,21-382,-1.0789085508017016,4
03404,Jharsuguda,371,JHARSUGUDA,433,21-371,-0.301132827508645,3
03434,Kendrapara,379,AUL,226,21-379,-0.8242048617608533,3
03536,Puri,387,ASTARANGA,156,21-387,-0.6959604505675933,3
03409,Kalahandi,395,BHAWANIPATNA,826,21-395,-0.5188766771061405,3
03523,Nayagarh,385,BHAPUR,228,21-385,-0.8941170021339699,3
03547,Rayagada,396,BISSAMCUTTACK,746,21-396,-0.25449730586079716,3
03310,Bargarh,370,AMBABHONA,645,21-370,-0.4014133417938516,3
03322,Bhadrak,378,BASUDEVPUR,500,21-378,-0.8813803652499584,3
03329,Boudh,391,BOUDH,916,21-391,-0.8638438831676136,3
03357,Gajapati,389,GOSANI,235,21-389,-0.0003354162783236117,3
03456,Khordha,386,BALIANTA,135,21-386,-0.759028831224763,3
03364,Ganjam,388,ASKA,175,21-388,-0.6635849226766558,3
03284,Balangir,393,AGALPUR,323,21-393,-0.577217583907278,3
03386,Jagatsinghapur,380,BALIKUDA,307,21-380,-0.5067385471228397,3
03349,Dhenkanal,383,BHUBAN,234,21-383,-1.1384265858639953,4
03332,Cuttack,381,ATHAGAD,424,21-381,-0.9084975117384785,3
03531,Nuapada,394,BODEN,689,21-394,-0.34044438162765933,3
03443,Kendujhar,375,ANANDAPUR,568,21-375,-1.027742611963336,4
03567,Sonepur,392,BINIKA,335,21-392,-0.6000470341862859,3
03422,Kandhamal,390,BALIGUDA,852,21-390,-1.1900789665453362,4
03558,Sambalpur,372,BAMRA,657,21-372,-0.4883803966433503,3
