dtname,TCI,flood,spei_class,total_risk,jenks_class
Anugul,2,4,4,10,4
Balangir,1,3,3,7,2
Baleshwar,3,5,3,11,4
Bargarh,2,3,3,8,3
Bhadrak,3,4,3,10,4
Boudh,1,4,3,8,3
Cuttack,2,4,3,9,3
Deogarh,2,4,3,9,3
Dhenkanal,2,4,4,10,4
Gajapati,2,3,3,8,3
Ganjam,2,4,3,9,3
Jagatsinghapur,3,4,3,10,4
Jajapur,2,4,4,10,4
Jharsuguda,2,3,3,8,3
Kalahandi,1,3,3,7,2
Kandhamal,2,1,4,7,2
Kendrapara,3,4,3,10,4
Kendujhar,2,4,4,10,4
Khordha,2,4,3,9,3
Koraput,1,1,2,4,1
Malkangiri,1,4,2,7,2
Mayurbhanj,2,4,3,9,3
Nabarangpur,2,1,2,5,1
Nayagarh,2,4,3,9,3
Nuapada,1,2,3,6,2
Puri,3,5,3,11,4
Rayagada,1,3,3,7,2
Sambalpur,2,3,3,8,3
Sonepur,1,3,3,7,2
Sundargarh,2,3,3,8,3
