dtname,year,WB_JJAS,SPEI_JJAS
Anugul,2015,347.887258730015,-1.1933967450071399
Balangir,2015,488.87037104044055,-1.1601856380719484
Baleshwar,2015,455.41585425860126,-0.9608863326031206
Bargarh,2015,551.2193970422906,-0.8520309769077695
Bhadrak,2015,351.620032394727,-1.4904241316052982
Boudh,2015,465.9840064879725,-1.0510899406636163
Cuttack,2015,365.4628845231331,-1.4016236452123354
Deogarh,2015,494.07504956358724,-0.4494084722517914
Dhenkanal,2015,310.1906635360261,-1.4920919257922827
Gajapati,2015,362.34504870713045,-0.8226847471677402
Ganjam,2015,439.22716358437276,-0.7696672996354513
Jagatsinghapur,2015,358.095319076682,-1.4879159951934193
Jajapur,2015,284.65199189059877,-1.7056649112207103
Jharsuguda,2015,618.4830174506915,-0.30581928698207017
Kalahandi,2015,463.05970773788266,-1.3167208988385402
Kandhamal,2015,497.9922637107922,-0.7164873873766114
Kendrapara,2015,357.413825106903,-1.3767302352564306
Kendujhar,2015,260.7510483137521,-1.82643066228619
Khordha,2015,447.87512104012836,-1.3249842538184566
Koraput,2015,700.5082456472086,-0.27766707875049673
Malkangiri,2015,582.0354941847003,-0.34598253648001914
Mayurbhanj,2015,438.2441978090037,-1.1705538727818223
Nabarangpur,2015,534.7583037618781,-0.829560978937975
Nayagarh,2015,456.98925382614067,-1.0032031966608432
Nuapada,2015,504.65408159010076,-1.1167624853171074
Puri,2015,358.4524586842675,-1.5722770508077346
Rayagada,2015,518.0410554534361,-0.9089824922595524
Sambalpur,2015,581.0840328366154,-0.5563906065015763
Sonepur,2015,547.2540976256138,-1.027525875575193
Sundargarh,2015,510.52140280184665,-0.3873318284898182
