dtname,TCI,flood,spei_class,total_risk
Anugul,2,4,4,10
Balangir,1,3,3,7
Baleshwar,3,5,3,11
Bargarh,2,3,3,8
Bhadrak,3,4,3,10
Boudh,1,4,3,8
Cuttack,2,4,3,9
Deogarh,2,4,3,9
Dhenkanal,2,4,4,10
Gajapati,2,3,3,8
Ganjam,2,4,3,9
Jagatsinghapur,3,4,3,10
Jajapur,2,4,4,10
Jharsuguda,2,3,3,8
Kalahandi,1,3,3,7
Kandhamal,2,1,4,7
Kendrapara,3,4,3,10
Kendujhar,2,4,4,10
Khordha,2,4,3,9
Koraput,1,1,2,4
Malkangiri,1,4,2,7
Mayurbhanj,2,4,3,9
Nabarangpur,2,1,2,5
Nayagarh,2,4,3,9
Nuapada,1,2,3,6
Puri,3,5,3,11
Rayagada,1,3,3,7
Sambalpur,2,3,3,8
Sonepur,1,3,3,7
Sundargarh,2,3,3,8
