tender_id,tender_externalreference,tender_title,work_description,tender_category,tender_type,form_of_contract,product_category,is_multi_currency_allowed_for_boq,allow_two_stage_bidding,independent_external_monitor/remarks,published_date,pre_bid_meeting_date,bid_validity(days),should_allow_nda_tender,allow_preferential_bidder,payment_mode,bid_opening_date,organisation_chain,location,pincode,no_of_bids_received,tender_value_in_₹,bidder_name,awarded_value,status,contract_date_:,department,matched_categories,matched_keywords,intent_tag,is_coastal_district,is_drought_district
2020_OLIC_63605_5,14/2020-21 OLIC/ Dt 02.11.2020,INSTALATION AND ENERGISATION OF BARAHIPUR-IV LI PROJECT,INSTALATION AND ENERGISATION OF BARAHIPUR-IV LI PROJECT,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,06-Nov-2020 11:00 AM,NA ,90.0,No ,No,Online,19-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",MAHANGA BLOCK,754001.0,1.0,"12,55,000",M/S SRI SAI ENGINEERING,10.67,Accepted-AOC,06-Jul-2022,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",C2_Irrigation,irrigation|lift irrigation,Unknown,False,False
2020_OLIC_63777_11,"Bid Identification No.16 / 2020-21, OLIC (CTC) / D",INSTALATION AND ENERGISATION OF PURAN BIRIBEDI LI PROJECT,INSTALATION AND ENERGISATION OF PURAN BIRIBEDI LI PROJECT,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,16-Nov-2020 11:00 AM,NA ,90.0,No ,No,Online,26-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",ERASAMA BLOCK,754001.0,1.0,,M/S SRI SAI ENGINEERING,18.48,Accepted-AOC,06-Jul-2022,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",C2_Irrigation,irrigation|lift irrigation,Unknown,False,False
2020_OLIC_63777_15,"Bid Identification No.16 / 2020-21, OLIC (CTC) / D",INSTALATION AND ENERGISATION OF MALIKANA-I LI PROJECT,INSTALATION AND ENERGISATION OF PURAN MALIKANA-I LI PROJECT,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,16-Nov-2020 11:00 AM,NA ,90.0,No ,No,Online,26-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",ERASAMA BLOCK,754001.0,1.0,,M/S SRI SAI ENGINEERING,17.57,Accepted-AOC,06-Jul-2022,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",C2_Irrigation,irrigation|lift irrigation,Unknown,False,False
2020_OLIC_63777_17,"Bid Identification No.16 / 2020-21, OLIC (CTC) / D",INSTALATION AND ENERGISATION OF DHUANSAHI-II LI PROJECT,INSTALATION AND ENERGISATION OF PURAN DHUANSAHI-II LI PROJECT,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,16-Nov-2020 11:00 AM,NA ,90.0,No ,No,Online,26-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",ERASAMA BLOCK,754001.0,1.0,,M/S SRI SAI ENGINEERING,18.57,Accepted-AOC,06-Jul-2022,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",C2_Irrigation,irrigation|lift irrigation,Unknown,False,False
2021_CEMIB_70118_1,"BIDS NO.02(NCB)/ORDRIP EMIC,KJR/2021-22",Improvement to Aradei MIP (Res) in Sadar Block of Keonjhar District under DRIP Phase II,Improvement to Aradei MIP (Res) in Sadar Block of Keonjhar District under DRIP Phase II,Works,National Competitive Bid,Item Rate,Civil Works - Water Works,No,No,NA ,04-Aug-2021 10:40 AM,24-Aug-2021 11:30 AM ,90.0,No ,No,Online,17-Sep-2021 04:00 PM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",Sadar Block of Keonjhar District,758001.0,2.0,"4,32,98,077",UNICORN INDIA PRIVATE LIMITED,"45,467,305.679",Accepted-AOC,26-Jul-2022,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",C1_WaterConservation|C2_Irrigation,irrigation|minor irrigation|mip,Mitigation,False,False
2021_CEMIB_70150_1,"BIDS NO.03(NCB)/ORDRIP EMIC,KJR/2021-22",RENOVATION TO HEAD WORKS OF JAGADALA MIP (RES) IN SADAR BLOCK UNDER DRIP PHASE II,RENOVATION TO HEAD WORKS OF JAGADALA MIP (RES) IN SADAR BLOCK UNDER DRIP PHASE II,Works,National Competitive Bid,Item Rate,Civil Works - Water Works,No,No,NA ,06-Aug-2021 10:30 AM,31-Aug-2021 11:30 AM ,90.0,No ,No,Online,20-Sep-2021 04:00 PM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",Sadar Block of Keonjhar District,758001.0,2.0,"4,50,67,702",UNICORN INDIA PRIVATE LIMITED,"49,209,436.454",Accepted-AOC,26-Jul-2022,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE M.I. Division Keonjhar",C1_WaterConservation|C2_Irrigation,irrigation|minor irrigation|mip,Unknown,False,False
2022_CEBBS_79393_1,Bid Identification No.SE-HID-02/2022-23,"Engagement of different categories of labour /Personnel on outsourcing basis for Hadua Irrigation Project Narasinghpur for the year 2022-23 (Period from July, 2022 to Mar, 2023).",Engagement of different categories of labour /Personnel on outsourcing basis.,Services,Open Tender,Item Rate,Human Resources Supply,No,No,NA ,02-Jul-2022 10:00 AM,NA ,90.0,No ,No,Online,11-Jul-2022 11:00 AM,"CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||E.E.,Hadua Irr. Divn.,Narasinghpur",Paikapada Patana,753042.0,2.0,,MAA TARINI SECURITY SERVICES,"717,600",Accepted-AOC,25-Jul-2022,"CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||E.E.,Hadua Irr. Divn.,Narasinghpur",C2_Irrigation,irrigation,Unknown,False,False
2022_CERWI_79109_1,TCN No.01/22-23,Annual Maintenance of Bartana ADB Road to Chirkula Bhuatentuli over Coast canal Via Dala Banki Ghai Road for the year 2022-23,Annual Maintenance of Bartana ADB Road to Chirkula Bhuatentuli over Coast canal Via Dala Banki Ghai Road for the year 2022-23,Works,Open Tender,Percentage,Civil Works - Roads,No,No,NA ,24-Jun-2022 03:00 PM,NA ,90.0,No ,No,Online,02-Jul-2022 11:00 AM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,Baleswar,756086.0,1.0,"13,38,932",AMULYA KUMAR PRADHAN,"1,138,226",Accepted-AOC,25-Jul-2022,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-JALESWAR,C2_Irrigation,canal,Unknown,False,False
2022_OMECL_76473_2,13/OMECL/e-PROC/2021-22,"Engagement of agency for chemical analysis of Iron , Bauxite, Fireclay, Graphite, Chromite and associated rocks and minerals samples for OMECL","Engagement of agency for chemical analysis of Iron , Bauxite, Fireclay, Graphite, Chromite and associated rocks and minerals samples for OMECL",Services,Open Tender,Item Rate,Miscellaneous Services,No,No,NA ,04-May-2022 06:30 PM,NA ,180.0,No ,No,Online,12-May-2022 02:30 PM,Odisha Mineral Exploration Corporation Limited,Odisha,751001.0,2.0,,Inspectorate Griffith India Pvt. Ltd.,"15,240,055",Accepted-AOC,22-Jul-2022,Odisha Mineral Exploration Corporation Limited,C1_WaterConservation,mit,Unknown,False,False
2020_OLIC_63132_3,1351_07_10_2020,Bari II and Rasulpur,Installation of 200mm dia Medium Deep Tube Wells in Bari and Rasulpur Block In Jajpur District,Works,Open Tender,Percentage,Mechanical Works,No,No,NA ,19-Oct-2020 10:00 AM,NA ,180.0,No ,No,Online,02-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",Jajpur Road,755019.0,2.0,"34,87,686",AKSHAYA KUMAR MALLICK,"3,320,668",Accepted-AOC,08-Feb-2023,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",C2_Irrigation,irrigation|lift irrigation|tube well,Mitigation,False,False
2020_OLIC_63132_5,1351_07_10_2020,Dasarthapur_I_Binjharpur_II,Installation of 200mm dia Medium Deep Tube Wells in Dasarthapur Binjharpur Block In Jajpur District,Works,Open Tender,Percentage,Mechanical Works,No,No,NA ,19-Oct-2020 10:00 AM,NA ,180.0,No ,No,Online,02-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",Jajpur Road,755019.0,2.0,"42,60,659",D SIVAKUMAR (Prop-Shree Saravana Bore Well),"4,533,341",Accepted-AOC,08-Feb-2023,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",C2_Irrigation,irrigation|lift irrigation|tube well,Mitigation,False,False
2020_OLIC_63132_6,1351_07_10_2020,Bari_III,Installation of 200mm dia Medium Deep Tube Wells in Bari Block In Jajpur District,Works,Open Tender,Percentage,Mechanical Works,No,No,NA ,19-Oct-2020 10:00 AM,NA ,180.0,No ,No,Online,02-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",Jajpur Road,755019.0,2.0,"34,59,562",D SIVAKUMAR (Prop-Shree Saravana Bore Well),"3,680,974",Accepted-AOC,08-Feb-2023,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",C2_Irrigation,irrigation|lift irrigation|tube well,Mitigation,False,False
2020_OLIC_63132_7,1351_07_10_2020,Dasarathapur_II_Binjharpur_III,Installation of 200mm dia Medium Deep Tube Wells in Dasarathapur and Binjharpur Block In Jajpur District,Works,Open Tender,Percentage,Mechanical Works,No,No,NA ,19-Oct-2020 10:00 AM,NA ,180.0,No ,No,Online,02-Nov-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",Jajpur Road,755019.0,2.0,"31,08,610",D SIVAKUMAR (Prop-Shree Saravana Bore Well),"3,307,561",Accepted-AOC,08-Feb-2023,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Jajpur Road",C2_Irrigation,irrigation|lift irrigation|tube well,Mitigation,False,False
2020_OLIC_63876_5,1952 /2020-21 Dt. 02.11.2020,INSTALATION AND ENERGISATION OF BHAGABATIPUR LI PROJECT,INSTALATION AND ENERGISATION OF BHAGABATIPUR LI PROJECT,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,17-Nov-2020 02:00 PM,NA ,90.0,No ,No,Online,04-Dec-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",CHILIKA BLOCK,754001.0,1.0,,ABINASH BISWAL,"1,123,237",Accepted-AOC,10-Feb-2023,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",C2_Irrigation,irrigation|lift irrigation,Unknown,False,False
2020_OLIC_63876_7,1952 /2020-21 Dt. 02.11.2020,INSTALATION AND ENERGISATION OF KUMANDAL LI PROJECT,INSTALATION AND ENERGISATION OF KUMANDAL LI PROJECT,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,17-Nov-2020 02:00 PM,NA ,90.0,No ,No,Online,04-Dec-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",CHILIKA BLOCK,754001.0,1.0,,ABINASH BISWAL,"1,125,831",Accepted-AOC,10-Feb-2023,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",C2_Irrigation,irrigation|lift irrigation,Unknown,False,False
2020_OLIC_63876_8,1952 /2020-21 Dt. 02.11.2020,INSTALATION AND ENERGISATION OF INJAPUR LI PROJECT,INSTALATION AND ENERGISATION OF INJAPUR LI PROJECT,Works,Open Tender,Percentage,Civil Works - Lift Irrigation Schemes,No,No,NA ,17-Nov-2020 02:00 PM,NA ,90.0,No ,No,Online,04-Dec-2020 11:00 AM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",CHILIKA BLOCK,754001.0,1.0,,ABINASH BISWAL,"1,116,645",Accepted-AOC,10-Feb-2023,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",C2_Irrigation,irrigation|lift irrigation,Unknown,False,False
