block_lgd,dtname,dtcode11,block_name,block_area,object_id,spei_mean,spei_class
03466,Koraput,398,BANDHUGAON,409,21-398,0.22356827762148795,2
03573,Sundargarh,374,BALISANKARA,692,21-374,0.11946855096545947,2
03480,Malkangiri,399,KALIMELA,1205,21-399,0.1051032677125395,2
03487,Mayurbhanj,376,BADASAHI,352,21-376,-0.6618087825846761,3
03298,Baleshwar,377,BAHANAGA,238,21-377,-0.6281598898080679,3
03346,Deogarh,373,BARKOTE,943,21-373,0.04290677225866983,2
03276,Anugul,384,ANUGUL,1116,21-384,-0.4891950099164455,3
03513,Nabarangpur,397,CHANDAHANDI,241,21-397,-0.14820868848106278,3
03394,Jajapur,382,BADCHANA,380,21-382,-1.1894327799479167,4
03404,Jharsuguda,371,JHARSUGUDA,433,21-371,0.15096386741189396,2
03434,Kendrapara,379,AUL,226,21-379,-1.1109535716404424,4
03536,Puri,387,ASTARANGA,156,21-387,-1.1099024437393346,4
03409,Kalahandi,395,BHAWANIPATNA,826,21-395,-0.46094198055796287,3
03523,Nayagarh,385,BHAPUR,228,21-385,-0.43967025472510674,3
03547,Rayagada,396,BISSAMCUTTACK,746,21-396,-0.04197633488327517,3
03310,Bargarh,370,AMBABHONA,645,21-370,-0.14312542186063879,3
03322,Bhadrak,378,BASUDEVPUR,500,21-378,-1.0911347603683836,4
03329,Boudh,391,BOUDH,916,21-391,-0.4017485450295841,3
03357,Gajapati,389,GOSANI,235,21-389,-0.038803745886522856,3
03456,Khordha,386,BALIANTA,135,21-386,-0.8060778383806948,3
03364,Ganjam,388,ASKA,175,21-388,-0.0996253564491035,3
03284,Balangir,393,AGALPUR,323,21-393,-0.32400974007539973,3
03386,Jagatsinghapur,380,BALIKUDA,307,21-380,-1.1274506599672378,4
03349,Dhenkanal,383,BHUBAN,234,21-383,-0.8644407484266493,3
03332,Cuttack,381,ATHAGAD,424,21-381,-0.8570350803587793,3
03531,Nuapada,394,BODEN,689,21-394,-0.3017116461318141,3
03443,Kendujhar,375,ANANDAPUR,568,21-375,-1.0321431882896248,4
03567,Sonepur,392,BINIKA,335,21-392,-0.3087021963936942,3
03422,Kandhamal,390,BALIGUDA,852,21-390,-0.05079328803342571,3
03558,Sambalpur,372,BAMRA,657,21-372,0.03756145569643273,2
