Tender ID,Tender external Remarks,tender_title,Work Description,Location,Pincode,Contract date,Tender Category,Tender Type,Product category,Published Date,Bid opening place,Bid opening date,Organisation chain,Tender value,Awarded value,Tender stage,Sub Category,Contract value,tender_externalreference,EMD Payable at,EMD Payable to,Address,is_flood_tender,positive_keywords_dict,negative_keywords_dict,Season,Scheme,Erosion,Roads_Bridges_Embkt,Response Type,Flood Response - Subhead
2019_PWD_25690_7,NA ,C/O Dochi Bari Markandli Road Km 0/0 to 3/0,"SH Formation cutting 5/7 mtr wide at RD 0/255 to 3/0,Retaining walls and Breast walls,Providing Kharanja soling at various slushy reaches in Km 0/0 to 3/0",Jubbal,171205.0,18-Aug-2023,Works,Open Tender,Civil Works - Roads,02-Jan-2019 11:00 AM,Jubbal,16-Jan-2019 11:00 AM,PWD,"38,18,206","4,023,102",AOC,NA ,"4,022,009",PW-JD/E-Tender/2018-19 -10177 -79 DT.15.12.2018,Jubbal,EE Jubbal,HPPWD JUBBAL,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 0, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Winter,,False,True,Others,
2019_PWD_27524_1,NA ,AMP for the year 2019-20 on Banjar Bathad road Km.0/0 to 20/0,"Providing and laying BUSG, Bituminous concrete in Km 3-0 to 6-0 and const. of PCC hill side drain in 300 metres length",Banjar,175123.0,04-Apr-2023,Works,Open Tender,Civil Works,18-Feb-2019 03:15 PM,Banjar,07-Mar-2019 11:00 AM,PWD,"23,84,244","3,072,058",AOC,NA ,"3,072,058",19471-74 dt.02.02.2019,EE Banjar,EE Banjar Division HPPWD Banjar,EE HPPWD Division Banjar,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 1, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Winter,,False,True,Repair and Restoration,{'drain': 1}
2019_PWD_27525_1,NA ,AMP for the year 2019-20 on Banjar Bathad road Km.0/0 to 20/0,"Providing and laying BUSG, Bituminous concrete in Km.8-0 to 12-0 and construction of PCC hill side drain in 400 metre length",Banjar,175123.0,05-Apr-2023,Works,Open Tender,Civil Works,18-Feb-2019 03:20 PM,Banjar,07-Mar-2019 11:00 AM,PWD,"31,89,809","4,125,951",AOC,NA ,"4,125,951",19471-74 dt.02.02.2019,Banjar,EE Banjar,EE HPPWD Banjar,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 1, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Winter,,False,True,Repair and Restoration,"{'construction': 1, 'drain': 1}"
2019_PWD_27527_1,NA ,AMP for the year 2019-20 on Sidhwan godigad upto Thanicher road Km.0/0 to 8/0,"Providing and laying BUSG, Bituminous concrete in Km.0-0 to 1-0, 2-0 to 3-0 and 4-0 to 6-0 and construction of PCC Hill side drain in 400 metre length",Banjar,175123.0,05-Apr-2023,Works,Open Tender,Civil Works,18-Feb-2019 03:25 PM,Banjar,07-Mar-2019 11:00 AM,PWD,"32,07,431","412,980",AOC,NA ,"4,112,980",19471-74 dt.02.02.2019,Banjar,EE Banjar,EE HPPWD Banjar,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 1, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Winter,,False,True,Repair and Restoration,"{'construction': 1, 'drain': 1}"
2019_PWD_27529_1,NA ,AMP for the year 2019-20 on Chilladhar Bihar road Km.0/0 to 4/0,"Providing and laying BUSG, Bituminous concrete in Km.0-0 to 2-0 and construction of PCC hill side drain in 200 metre length",Banjar,175123.0,04-Apr-2023,Works,Open Tender,Civil Works,18-Feb-2019 03:25 PM,Banjar,07-Mar-2019 11:00 AM,PWD,"15,96,007","2,058,760",AOC,NA ,"2,058,760",19471-74 dt.02.02.2019,Banjar,EE Banjar,EE HPPWD Banjar,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 1, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Winter,,False,True,Repair and Restoration,"{'construction': 1, 'drain': 1}"
2019_PWD_27533_1,NA ,AMP for the year 2019-20 on Sainj Railla road Km.0/0 to 7/500,"Providing and laying BUSG, Bituminous concrete in km.0-0 to 2-0, 4-0 to 5-0 and construction of PCC hill side drain in 300 metre length",Banjar,175123.0,05-Apr-2023,Works,Open Tender,Civil Works,18-Feb-2019 03:30 PM,Banjar,07-Mar-2019 11:00 AM,PWD,"26,89,789","3,450,477",AOC,NA ,"3,450,477",19471-74 dt.02.02.2019,Banjar,EE Banjar,EE HPPWD Banjar,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 1, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Winter,,False,True,Repair and Restoration,"{'construction': 1, 'drain': 1}"
2019_PWD_27538_1,NA ,AMP for the year 2019-20 on Larji Sainj road Km.0/0 to 14/0,"Providing and laying BUSG, Bituminous Concrete in Km.10-0 to 14-0 and construction of PCC hill side drain in 400 metres length",Banjar,175123.0,05-Apr-2023,Works,Open Tender,Civil Works,18-Feb-2019 02:10 PM,Banjar,07-Mar-2019 11:00 AM,PWD,"58,62,912","7,454,604",AOC,NA ,"7,454,604",19471-74 dt.02.02.2019,Banjar,EE Banjar,EE HPPWD Banjar,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 1, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Winter,,False,True,Repair and Restoration,"{'construction': 1, 'drain': 1}"
2019_PWD_28320_1,NA ,Imp. and Up-gradation of Menjha to Upper Menjha road Km. 0/00 to 4/270( Under NABARD RIDF-XXIII),"C/O R/Walls, missing C.D. work, WBM-II, WBM-III, Tarring, side drain and Parapets in Km 0/00 to 4/270 )",Palampur,176061.0,16-Jun-2023,Works,Open Tender,Civil Works - Roads,11-Mar-2019 10:00 AM,Palampur,16-Apr-2019 11:30 AM,PWD,"1,16,98,913","15,154,252",AOC,NA ,"15,348,415.7",24425-65,EE Palampur,EE Palampur,HPPWD Division Palmpur,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 0, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 1, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 1, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Pre-Monsoon,,False,True,Repair and Restoration,"{'imp': 1, 'drain': 1}"
2019_PWD_28826_2,NA ,"Construction of Additional accommodation for Govt. Sr. Sec. School at Dehan in Tehsil Palampur, Distt. Kangra (H.P.)","Construction of building portion ground floor, Ist floor and 2nd floor, including W.S. and S.I. Rain Water Harvesting System and septic Tank).",Palampur,176061.0,16-Jun-2023,Works,Open Tender,Civil Works - Buildings,13-May-2019 10:00 AM,Palampur,25-May-2019 03:00 PM,PWD,"92,52,977","10,259,115",AOC,NA ,"10,292,505.05",20725-84 PWD Division Palampur,EE Palampur,EE Palampur,HPPWD DIVISION PALAMPUR,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 1, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 0, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 0, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Pre-Monsoon,,False,False,Repair and Restoration,{'construction': 2}
2019_PWD_29860_1,NA ,"Construction of Additional accommodation for Govt. Sr. Sec. School at Daroh in Tehsil Palampur, Distt. Kangra (H.P.)","Construction of building portion ground floor, Ist floor and 2nd floor, including W.S. and S.I. Rain Water Harvesting System and septic Tank",Palampur,176061.0,01-Jul-2023,Works,Open Tender,Civil Works - Buildings,04-Jul-2019 10:00 AM,Palampur,17-Jul-2019 03:00 PM,PWD,"92,52,977","11,115,375",AOC,NA ,"11,709,587.78",356-395,EE Palampur,EE Palampur,HPPWD Division Palampur,True,"{'flood': 0, 'landslide': 0, 'flash flood': 0, 'heavy rain': 0, 'embankment': 0, 'Drainage': 0, ' River': 0, 'Khad': 0, 'Bridge': 0, 'Nallah': 0, 'Nalla': 0, 'Lake': 0, 'Relief': 0, 'Erosion': 0, 'Silt': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Immediate': 0, 'dam': 0, 'irrigation': 0, 'rain': 1, 'pond': 0, 'recharge': 0, 'bank': 0, 'restoration': 0, 'rain damages': 0, 'rain shelter': 0, 'hydrology': 0, 'breast wall': 0, 'drain': 0, ' retaining wall': 0, 'pot holes': 0, 'cross drainage': 0, ' ambulance road': 0, 'road': 0, 'rainwater harvesting system': 0}","{'Flood Lights': 0, 'pipe': 0, 'pipes': 0, 'supply': 0, 'beautification': 0, 'installation': 0}",Monsoon,,False,False,Repair and Restoration,{'construction': 2}
